C00,C01,C02,C10,C11,C12,C20,C21,C22
#212320,#0E07C9,#1C1D22,#08D305,#C30823,#21F225,#1D2321,#16E71A,#D1D4D9
#232426,#1006C9,#242328,#3DFF3E,#C20022,#27F928,#232321,#04D603,#BABEC1
#1E201D,#0F05C6,#202125,#1EEF21,#C40924,#38FF3E,#1E1E20,#0DDD0D,#C4C9CD
#1C2021,#1006C7,#222023,#3AFF3D,#BF011D,#22F326,#232321,#00C700,#B3B8BC
#181C1D,#1107C8,#232126,#00CD02,#C70D25,#33FF36,#1D1F1A,#36FF36,#BEC1C6
#181D21,#1006C9,#1F1F21,#18E71B,#BB0119,#2EFF31,#23221E,#3CFF3C,#C7CACF
#1D2120,#0F05C6,#242223,#40FF44,#BE001C,#29FB2A,#201F1B,#00C900,#DBE0E4
#191F1B,#1206C8,#19181E,#13DE12,#C50A25,#36FF37,#22211D,#0CDD10,#C7CCD0
#252422,#1006C7,#232124,#36FF36,#C00122,#27F82A,#222220,#00CF00,#C4C9CD
#1B1F20,#1107C8,#222025,#41FF41,#C40723,#05D609,#232321,#48FF4B,#CBD0D4
#242529,#1207CD,#1D2225,#2BFF31,#BD021D,#38FF3C,#1F1D20,#0BDA0E,#C3C8CC
#1C1E1D,#1006C9,#1D2225,#40FF3F,#C0031F,#0ADC0B,#222224,#4CFF4F,#C1C6CA
#1C2220,#1105C9,#1F2024,#01D109,#C00520,#33FF37,#202022,#26F126,#BDC2C6
#282F27,#1105C9,#241F23,#1CE71B,#C20A22,#0EE00F,#231F1E,#1CEE1D,#C0C5C9
#1E1E1C,#1004CA,#221D24,#36FF33,#B9031A,#22F328,#21201E,#00CE02,#D5DADE
#21201C,#1004C8,#222222,#41FF41,#BB001B,#17E916,#1E231F,#4BFF4B,#D4DCDF
#1F211E,#1105C7,#222021,#36FF34,#C00520,#0FE312,#1F2120,#28FA29,#D4D7DC
#1F2427,#1105C7,#262125,#39FF3A,#BC001B,#01D602,#1F1F1D,#40FF3F,#C5C8CD
#1A2322,#150BCC,#1D2025,#27F530,#C40723,#16E71A,#191E22,#37FF35,#BFC4C8
#1D2323,#1509CD,#212526,#09D710,#C50824,#2FFF33,#262221,#0BDA0E,#CACFD3
#1C2222,#1105C7,#1E2225,#38FF3C,#B60018,#0FE314,#1F2022,#48FF48,#BBC0C4
#202020,#0F03C7,#202125,#08D50A,#C50824,#01D507,#24231E,#0BDB0D,#CBD0D4
#1C2222,#0F03C7,#202125,#00CE03,#BF041F,#0FE110,#212322,#3CFF3F,#C3C8CC
#1F2120,#0D01C5,#202125,#07DA0F,#BD021D,#39FF3D,#222423,#0DDC10,#C5CACE
#1C2222,#1408CC,#1E2424,#18E318,#B90019,#27F928,#1D2122,#05D408,#D2D7DB
#1F2120,#1105C9,#1E2223,#00C100,#C70A26,#2EFF31,#192019,#21F121,#C8CDD1
#202020,#1105C9,#1F2326,#49FF46,#C70A26,#00CF00,#1E201D,#1BEB1B,#CFD4D8
#222222,#1206CA,#202328,#39FF36,#B70016,#3CFF40,#1C1E1B,#01D101,#D6DBDF
#1C201F,#1105C9,#1C2023,#00C500,#C90E29,#29FD2C,#24282B,#22F423,#C6CBCF
#21211F,#1206CA,#23272A,#4AFF4A,#C40723,#13E716,#1C1E19,#29FB2A,#C2C7CB
#20201E,#1105C9,#1C2021,#17E214,#C20521,#0ADB0E,#292421,#0ADA0A,#C3C8CC
#201F1D,#1105C9,#212727,#15E012,#C70A26,#36FF3C,#212320,#16E519,#C4C9CD
#242223,#1105C9,#161B1F,#22ED1F,#CE112D,#00C700,#202423,#2BFC2F,#C9CED2
#1E201F,#1105C9,#212526,#00B300,#C70A26,#00C600,#1E2221,#37FF3A,#BEC6C9
#202020,#0E04C5,#212224,#00B400,#BB0017,#00C300,#222222,#48FF48,#C9CED2
#1F2120,#1004C8,#23282B,#00BB00,#B80018,#1EF221,#1D2120,#09D907,#DADFE3
#232122,#1105C9,#1F261F,#53FF53,#BA0019,#1FF023,#1C2220,#27F62A,#DADFE3
#222423,#1105C9,#222224,#01CC01,#B40014,#00CA00,#1D1F1E,#13E313,#D6DBDF
#1D1D1D,#1004C8,#1C201F,#09D409,#BC001B,#42FF46,#212121,#20EF23,#C3C8CC
#272823,#1006C9,#1C1D22,#00BF00,#CD0F2B,#00C600,#1E2223,#3EFF41,#C4C9CD
#1F2120,#1006C9,#202123,#2AF527,#C80B27,#35FF36,#232321,#32FF32,#E0E5E9
#1F1E1A,#1004C8,#1F2022,#55FF55,#BA0019,#36FF3A,#1F1E1C,#05D505,#C4C9CD
#202221,#1105C9,#212322,#0AD507,#B70016,#40FF44,#1D1D1D,#00CA00,#CCCFD4
#1C1E1B,#1105C9,#262223,#2FFA2C,#CF142F,#19EE20,#232227,#1DED1D,#CACFD3
#232524,#1105CB,#1D2124,#1DED11,#C50421,#1BF51B,#1E1C1F,#1EF119,#CBCED3
#272727,#1105CB,#1E231F,#1CEF16,#C40622,#1DF41B,#1D1D1F,#1DF017,#CDD0D5
#1F211C,#1105CB,#1E2126,#1CEF16,#C30521,#1DF41A,#1F1F1F,#1EF118,#CCCFD4
#1E1C1D,#1105CB,#1B2023,#1CEF16,#C60321,#24FB22,#1A201E,#1CF218,#CDD0D5
#202221,#1105CB,#25262A,#21F318,#C4011F,#12E912,#20201E,#0FE40E,#C7CACF
#1F1F1F,#1105CB,#1E1F21,#1EEF17,#C80A26,#17F117,#212121,#1DF319,#D2D5DA
#202423,#1105CB,#161A1D,#18F313,#C60321,#1EF51C,#212320,#1DF319,#CCCFD4
#232426,#1105CB,#202427,#3BFF30,#BA0018,#03D80A,#232124,#2EFF2F,#BCC1C5
#201E1F,#1104CD,#1F2324,#21F41C,#C1031F,#15E918,#202221,#00B600,#D3D8DC
