C00,C01,C02,C10,C11,C12,C20,C21,C22
#B00622,#17E327,#1109AF,#1108B1,#B60720,#1BE42B,#1AE924,#1009AF,#AE0921
#AD0821,#1009AE,#1AE824,#1BE72E,#B20821,#1008B0,#1009B1,#1CEA26,#B10821
#AB0B21,#1108B0,#1CE723,#1AE729,#B10920,#1108B0,#1209B3,#1BEA26,#B00821
#1AE823,#1008B2,#B00620,#1007AE,#B10721,#1CEA25,#B00821,#1BEB25,#0F0AAF
#B00821,#1007B2,#1BEA24,#1AED26,#B80620,#1006B5,#1009B1,#1CEC24,#B3071D
#B10721,#1CEE28,#110AB2,#1108B3,#B40921,#1BEC29,#1AEA26,#1108B1,#CABBBE
#1DE726,#1109B2,#AF0B20,#1108AF,#B50722,#1BEB2A,#AF0821,#19E62B,#1009AF
#AF0921,#1009AF,#1BE823,#1CE92A,#B60621,#1108B3,#110AB0,#1CEA28,#B10820
#B30621,#1CEC24,#1009B1,#1007B4,#B50722,#1CEC26,#1BE922,#1108B1,#B00821
#AE0921,#1CEA27,#1009AF,#1008B4,#B4081F,#16E32A,#1AE924,#1108AF,#B00820
#B00821,#1BEB25,#110AB0,#100AB3,#B80622,#19E628,#1BE825,#1109AD,#AD0A21
#1AE924,#1006B4,#B30721,#1108B1,#B70622,#1CEC26,#B00921,#1CEC26,#1009B1
#1CE922,#1009B2,#B20920,#1109AE,#B3091F,#1CEC25,#AF0922,#16E725,#1009B1
#AF0821,#1009AE,#1BE924,#19E825,#B50720,#1207B4,#110AB0,#1BEB25,#B30721
#19E726,#1008B4,#B10721,#1009B0,#B40723,#1BEA27,#B00821,#1AEA29,#1209B0
