color_top,color_right,color_bottom,color_left
#1408CC,#38FF31,#18EE14,#1DF319
#1105C9,#22FA1B,#1AF014,#32FF2E
#1004CA,#20F713,#1CF715,#1EF615
#1004CA,#17EF0E,#1DF613,#43FF3E
#1107C8,#01D900,#30FF2A,#00CB00
#1006C9,#45FF41,#15ED10,#2BFF23
#1105C9,#17EF12,#19F112,#30FF29
#1105C9,#28FE22,#22FA1D,#2CFF29
#1004C8,#22FD1B,#1EF617,#0AE203
#1006C9,#04DC00,#14EA0E,#3BFF37
#1004C8,#14EC0F,#1CF415,#20F81B
#1206C8,#39FF35,#18F013,#00D100
#1105C9,#3EFF3A,#19F110,#17EA12
#1004CA,#20F71D,#1DF518,#4CFF4D
#1004C8,#16EC12,#1FF71A,#47FF44
#1004C8,#11E90C,#1CF417,#49FF46
#1004CA,#35FF32,#1CF415,#44FF3F
#1105C9,#3CFF39,#1EF51B,#37FF36
#1003CC,#1CF715,#1DF514,#1EF615
#1003CC,#17F212,#1CF413,#32FF2D
#1105CB,#21F91A,#1BF117,#1FF71A
#120A71,#21941D,#158811,#12850E
#120D81,#1CA716,#16A815,#19A916
#150F8D,#0BA60C,#1EBD22,#009A06
#151091,#16BA1D,#0DB313,#18B621
#161398,#00AA0B,#31DB3A,#17BF24
#17159D,#15C41F,#1DCC27,#0CBC1C
#17149F,#04B713,#0DBD1C,#02B416
#1816A5,#0ABF1C,#0CBF1D,#1AD030
#1918A4,#00B511,#1DD42C,#21DA36
#1C1AAB,#09C71B,#2BEB40,#00B107
#1B19AB,#1EDF2C,#1BDD27,#12D224
#1C19AE,#0ECE21,#11D124,#2CEC41
#1A1AAE,#01C114,#2EEE43,#13D42B
#1C1AAC,#12D425,#2CEC3F,#1FE037
#1C19AE,#15E329,#1AE02B,#1CE22D
#1B1BAF,#14D426,#32F446,#2BF041
#1D1DAF,#00B810,#00B008,#2DF149
#1A1AAE,#20E331,#28EA3C,#0FD424
#1A1AAC,#00C412,#0BD020,#08CD1E
#1A1AAC,#11D327,#23E539,#42FF56
#1A1AAC,#31F24B,#2FEE46,#00B207
#1A1AAE,#00A500,#01C114,#00B506
#1C1AAC,#00A602,#00BF10,#08CA1C
#1919AD,#1AE029,#1AE029,#1CE22B
#1B1BAD,#43FF59,#17D92B,#19DE2F
#1A1AAE,#00BB10,#31F344,#2CF141
#1B1BAF,#00BA12,#2DEF41,#10D526
#1B1BB1,#1BE12A,#1CDF2B,#1CE32E
#1B1BB1,#1EE736,#24EA35,#1AE12C
#1C1CB0,#2CF142,#21E334,#12D926
#1B1BAF,#1BE12A,#1AE02B,#1CE32E
#1C1BB5,#1BE32B,#1CE22D,#1DE52D
#1B1BB1,#1FE12B,#1DE32E,#1AE62F
#1C1CB2,#1BE32B,#1BE12C,#1DE52D
#1B1BAF,#1CE32E,#1BE12C,#1CE32E
#1C1CB2,#1FE435,#15DA28,#2FEF4A
#1B1BAF,#0FD327,#1EE031,#0DD125
#1A1CAF,#1BE030,#1DE02E,#1CE131
#1A1CAF,#18DD2D,#1BDD2E,#1BE02E
#1B1BAF,#20E535,#1ADD2B,#22E737
#1C1CAE,#1ADF2F,#1CDF2D,#2FF445
#1B1BAF,#1DE232,#1ADD2B,#1ADF2F
#1B1BAF,#2CEC3F,#20E331,#1DE232
#1B1BAD,#19DE2E,#1BDE2C,#1EE736
#1B1BAD,#2BEC45,#17D92A,#0ECF26
#1B1CAC,#16D631,#20E032,#37F64E
#1A1AAC,#1BDB2D,#1BDC2B,#1ADF2F
#1B1BAF,#1BDD2E,#1BDE2C,#1AE12E
#1B1BAF,#1BDE2C,#1BDE2C,#1DE230
#1C1DAD,#33F44D,#12D12B,#00AC0D
#1B1CAC,#38F751,#17D92D,#00B30C
#1A1AAC,#11D028,#21E133,#32F448
#1B1BAD,#1DDF30,#1BDE2C,#1CE12F
#1B1BAF,#1BDE2C,#1BDE2C,#1BE22F
#1B1BAF,#19DF26,#1BDE2C,#1CE330
#1B1BAF,#1CDF2B,#1BDE2C,#1DE42F
#1C1CB2,#1AE02B,#1DE02A,#1BE730
#1C1CB2,#1CDF2B,#1BE12A,#1BE730
#1C1CB2,#1BE12A,#1BE12A,#1BE92F
#1D1DB3,#13DB23,#25ED35,#21EF35
#1C1DB6,#1CE429,#1DE52D,#1BE92F
#1E1DB9,#1DE52D,#1BE82B,#1CEA30
#1E1DB7,#19E72B,#1BE72E,#16E72C
#1E1DB7,#13DF26,#20EC33,#16E72C
#1E1DB9,#1BE72E,#1BE72E,#1DEB31
#1E1DB9,#1BE82B,#1BE72E,#1BEC31
#1E1DB9,#1EEC32,#29F63F,#1BED32
#1C1CB8,#1AEA34,#1AE730,#1CE934
#1E1DB9,#1BE831,#1EEA33,#1BE831
#1D1CB5,#2BF549,#2EF64D,#21EB3F
#1514AE,#25EB3E,#00C01B,#00C726
#1D1DB3,#16DD2A,#19E02D,#17E22E
#1D1DB1,#2AF041,#0ED429,#22E83D
#1C1CB2,#15DC29,#14D929,#23E838
#1C1CAE,#02CB1B,#26E83A,#06CB1C
#1C1CAE,#0FD327,#16D82A,#21E73A
#1C1CB0,#00B412,#07C71C,#02C31A
#1C1CB0,#3AFB54,#29EB3F,#16D82A
#1B1BAF,#1AE02B,#1BDE2C,#1BE22D
#1B1BB1,#35F94D,#1FE132,#19E02D
#1C1CB0,#15DA2B,#1CDF2D,#1DE431
#ABADA8,#AEAEAC,#23EA39,#1C1CB0
#1B1BB1,#22E33A,#23E539,#1BE231
#1B1BB1,#2DF242,#1ADC2D,#1DE431
#1B1BB1,#02C61A,#14D627,#15DC29
#1B1BB1,#20E43A,#1BDD2E,#10D724
#1C1CB0,#1FE22E,#1DE02E,#1AE62F
#1B1BB1,#28EC42,#28EA3B,#16E12D
#1B1BB1,#00C115,#13D526,#17DE2D
#1B1AB4,#0BD124,#1FE132,#25F03C
#1C1CB2,#03C71B,#12D426,#21E837
#1C1CB2,#19E32D,#19DF2A,#1DE42F
#1C1CB2,#18E22E,#1EE12F,#1BE730
#1C1CB2,#1CE12F,#1BE12C,#1BE730
#1D1DB3,#32F34A,#0BD021,#25F03C
#1C1CB2,#28EF3E,#1DDF30,#18E42D
#1C1BB5,#1CDF2B,#1BE12C,#1EE530
#1C1BB5,#27EB3F,#10D223,#22ED39
#1C1BB5,#00C419,#27E73C,#1DE834
#1C1BB5,#2DD528,#1CDF2D,#1AE62F
#1C1BB5,#0AD021,#20E331,#18E42D
#1A1BB4,#17DB31,#30F246,#14DF2B
#1C1BB5,#23E836,#1BDE2C,#1AE62F
#1C1CB2,#0DCF21,#14D627,#1AE531
#1C1CB2,#35F74B,#27E93B,#12DD29
#1C1CB2,#32F64A,#1BDD2F,#18E32F
#13DD29,#1D1DB3,#0ACC20,#31F74A
#1B1CB2,#1BE030,#25E738,#1BE632
#1C1BB5,#26EB3C,#25E739,#19E52E
#1C1CB2,#28ED3E,#0FD425,#1EE935
#1C1CB2,#2FF143,#14D929,#23EE3A
#1C1BB5,#08CA1C,#18DA2C,#1FEA36
#1C1CB2,#25E834,#1EE532,#19E62F
#1F1CB3,#0ACE22,#27E93A,#15E12A
#1C1CB2,#28ED3E,#20E535,#22EE37
#1C1BB5,#05CB1C,#24E939,#1BE730
#1C1CB2,#1FE435,#1EE333,#20EB37
#1C1CB2,#21E636,#20E736,#1CE32E
#1C1BB5,#18DD2E,#29EE3E,#20EB37
#1C1BB5,#32F64A,#1CE132,#13DE2A
#1B1CB2,#13D828,#15DA2A,#1EEA33
#1C1CB2,#19DE2E,#24E939,#18E42D
#1D1DB3,#2EEE40,#1EE333,#18E42D
#1C1CB2,#03C517,#0DD222,#1BE632
#1C1CB2,#1CE229,#1BDE2C,#1EE530
#1C1CB2,#08CD1E,#17D92A,#13DE2A
#1C1CB2,#05C719,#24E939,#1AE531
#1C1CB2,#1CE132,#12D727,#1BE22F
#1C1CB2,#24E638,#14D82C,#1AE531
#1C1CB2,#14D92A,#20E535,#1EE935
#1C1CB2,#17DC2D,#22E435,#21EC38
#1C1CB2,#1FE435,#0DD222,#23EE3A
